Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest,Actual
As someone who has never owned a smartphone before I want to compare the mobile operating systems available on the market.,8,23/9/17 20:11,00:00:30,00:00:12,Trey Gonsoulin,Ricardo Delfin Garcia,7
As a Google fanboy who wishes to purchase the next Nexus device I would like to know which carriers it is compatible with.,5,23/9/17 20:10,00:00:36,00:00:15,Trey Gonsoulin,Ricardo Delfin Garcia,8
"As an Apple fanboy who wishes to purchase the next iPhone X, I want to know what the specs of the phone are.",2,23/9/17 20:10,00:00:16,00:00:11,Trey Gonsoulin,Ricardo Delfin Garcia,2
As a developer I want to learn from how PhoneDB was developed by reading a technical document that describes the inner workings of the website.,2,23/9/17 20:09,00:00:17,00:00:08,Trey Gonsoulin,Ricardo Delfin Garcia,2
As a developer I wish to query the PhoneDB API so I can better serve my customers' specific phone needs.,5,23/9/17 20:08,00:00:38,00:00:15,Trey Gonsoulin,Ricardo Delfin Garcia,4
As a CEO of a phone manufacturing company I wish to understand what my competition has produced recently by viewing their products.,5,23/9/17 20:08,00:00:22,00:00:15,Trey Gonsoulin,Ricardo Delfin Garcia,6
As a user who has yet to sign up for cellular service I want to find the provider that best suits my needs.,2,23/9/17 20:06,00:01:35,00:00:43,Trey Gonsoulin,Ricardo Delfin Garcia,3
As a grader I want to know who worked on PhoneDB as their project and how many commits they made.,2,23/9/17 20:05,00:00:31,00:00:10,Trey Gonsoulin,Ricardo Delfin Garcia,3
As a curious browser I want to know what PhoneDB is by reading an about page.,2,23/9/17 20:05,00:00:24,00:00:14,Trey Gonsoulin,Ricardo Delfin Garcia,2
"As a user who wishes to purchase a new phone, I would like to browse all the options available to my carrier.",2,23/9/17 20:03,00:00:36,00:00:14,Trey Gonsoulin,Ricardo Delfin Garcia,2
As a developer I want to make sure that all of PhoneDBs APIs are tested so that I can expect them to work properly,2,24/10/17 18:21,00:00:22,00:00:12,Joanthan Fisher,Matt Gmitro,3
As a phone carrier I want to make sure that all my devices are listed on PhoneDB,2,24/10/17 18:20,00:00:17,00:00:09,Joanthan Fisher,Matt Gmitro,2
As a developer I want to see the UML document to see what models depend on one another,1,24/10/17 18:20,00:00:14,00:00:08,Joanthan Fisher,Matt Gmitro,3
As a developer I want to see the documentation of the database so that I can imitate the models,1,24/10/17 18:19,00:00:34,00:00:14,Joanthan Fisher,Matt Gmitro,3
As a user I want to be able to page through all the phones without having to scroll,1,24/10/17 18:19,00:00:21,00:00:13,Joanthan Fisher,Matt Gmitro,1
As a user I would like to be able to filter my searches so I can reduce the amount of results I have to view,2,24/10/17 18:18,00:00:20,00:00:13,Joanthan Fisher,Matt Gmitro,3
As a user I would like to search for a specific phone without having to go through the entire website,2,24/10/17 18:17,00:00:43,00:00:23,Joanthan Fisher,Matt Gmitro,2
"As a data scientist, I would like to have access to PhoneDBs database so that I can analyze and predict new phones that will come out",8,24/10/17 18:17,00:00:25,00:00:14,Joanthan Fisher,Matt Gmitro,7
"As a developer who does not want to create their own database, I would like to call PhoneDBs RESTful APIs",1,24/10/17 18:16,00:00:26,00:00:15,Joanthan Fisher,Matt Gmitro,3
"As a person with outdated phones, I would like to be to see all phone models that has ever been sold",1,24/10/17 18:14,00:02:11,00:01:09,Joanthan Fisher,Matt Gmitro,2
"As a user, I want to be enamored by images everywhere on every page.",3,4/11/17 20:01,00:00:24,00:00:08,Simon,Brian,3
"As a developer, I want to know that the APIs are truly RESTful.",0,4/11/17 20:00,00:00:19,00:00:09,Simon,Brian,0
